,Prompt,GT
165,Which mode is more vulnerable to a cut-and-paste attack? **Options:** A) Block Cipher mode B) Stream cipher mode C) Cipher Block Chaining (CBC) mode D) Electronic Codebook (ECB) mode,D
166,What is the main focus of the Vulnerability Analysis task in Information Risk Management? **Options:** A) To determine the current status of information security in the target environment and ensure associated risk is managed B) To identify threats that may adversely impact the target environment C) To identify weaknesses in risk-reducing safeguards D) To measure the magnitude of loss or impact on the value of an asset,C
167,"What are the four basic threats to consider when using Internet, intranet, and Web technologies? **Options:** A) Unauthorized use, data loss, hardware failure, system breach B) Malicious software, password breaches, data theft, unauthorized modification C) Unauthorized access, eavesdropping, data alteration, impersonation D) Phishing, malware, hacking, eavesdropping",C
168,What type of encryption protocol uses elliptic curve cryptography and can establish a secure connection with lesser key lengths? **Options:** A) ECC B) Diffie-Hellman C) RSA D) Twofish,A
169,What is the principal purpose of using a three-level approach for distributing session keys in a public-key infrastructure? **Options:** A) To provide secure means of distributing master keys B) To improve the performance of the system C) To enhance backward compatibility D) All of the above,D
170,In which mode is an Initialization Vector (IV) necessary for the encryption and decryption process? **Options:** A) Stream cipher mode B) Electronic Codebook (ECB) mode C) Block Cipher mode D) Cipher Block Chaining (CBC) mode,D
171,What is the concept of 'least privilege' in cybersecurity? **Options:** A) Granting every user unlimited access to system resources B) Ignoring any privilege constraints for operational efficiency C) Granting only top-level management access to critical resources D) Granting each user the most restricted set of privileges needed for their task,D
172,What is the purpose of an API? **Options:** A) To map network layer addresses onto media-specific addresses B) To provide a set of calling conventions for invoking a service C) To authenticate users D) To identify network vulnerabilities,B
173,What is the goal of Business Continuity Planning (BCP) in the context of information security strategy? **Options:** A) To conduct regular awareness training for employees B) To implement disaster recovery plans for the data center C) To ensure the ability to continue essential business operations at an alternate site D) To develop strategies for minimizing loss of life and property damage,C
174,Which of the following is a fundamental practice to protect against social engineering attacks? **Options:** A) Installing antivirus software B) Conducting regular security awareness training C) Using strong encryption algorithms D) Enforcing strict password complexity rules,B
175,What is the objective of differential cryptanalysis in the context of cybersecurity? **Options:** A) To improve the authentication of the encrypted data B) To create a more efficient encryption process C) To enhance the randomness of the ciphertext D) To attempt to identify the unknown key from corresponding plain/ciphertext differentials,D
176,Why do attackers actively search for software flaws? **Options:** A) To improve software performance B) To take advantage of the security implications C) To get recognition in the software community D) To help normal users fix bugs,B
177,Which layer of the OSI model is the primary focus for network layer security? **Options:** A) Transport layer B) Application layer C) Data link layer D) Network layer,D
178,When is a cyber operation treated as a 'cyber attack' under international law? **Options:** A) When it constitutes an action that is expected to cause injury or death to persons or damage or destruction to objects. B) When it involves the use of force that is unreasonable or excessive. C) When it violates the principles of humanity within the law of armed conflict. D) When it involves the exercise of military necessity.,A
